Location,run,Name,fule,Transmission,Mileage,Engine,Power,Price
Coimbatore,49964,Audi A6 2011-2015 2.0 TDI Premium Plus,Diesel,Automatic,17.68,1968.0,174.33,23.89
Mumbai,35000,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Diesel,Manual,12.99,2494.0,100.6,12.75
Jaipur,64000,Hyundai Grand i10 CRDi Sportz,Diesel,Manual,24.0,1120.0,70.0,4.15
Mumbai,36000,Volkswagen Vento IPL II Petrol Highline AT,Petrol,Automatic,14.8,1598.0,105.0,4.65
Delhi,78600,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Diesel,Manual,12.8,2494.0,102.0,8.9
Jaipur,170000,Hyundai Verna CRDi SX,Diesel,Manual,16.8,1493.0,110.0,1.5
Pune,65000,Maruti Ritz VDi,Diesel,Manual,23.2,1248.0,73.94,3.27
Pune,120300,Audi Q7 3.0 TDI Quattro Technology,Diesel,Automatic,12.07,2967.0,241.4,18.0
Pune,21000,Hyundai i20 Asta Option 1.2,Petrol,Manual,18.6,1197.0,81.83,6.3
Coimbatore,18108,Maruti Vitara Brezza ZDi Plus Dual Tone,Diesel,Manual,24.3,1248.0,88.5,11.31
Pune,58407,Honda City i VTEC S,Petrol,Manual,17.4,1497.0,117.3,6.16
Pune,49500,Maruti Ciaz ZXi,Petrol,Manual,20.73,1373.0,91.1,6.0
Kochi,37199,Nissan Sunny XV CVT,Petrol,Automatic,17.5,1498.0,99.6,5.43
Hyderabad,62000,Volkswagen Polo Diesel Highline 1.2L,Diesel,Manual,22.07,1199.0,73.9,4.65
Hyderabad,59000,Maruti Ertiga ZDI,Diesel,Manual,20.77,1248.0,88.8,7.5
Jaipur,60000,Maruti Swift Dzire VDI,Diesel,Manual,26.59,1248.0,74.0,6.25
Bangalore,39037,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Diesel,Automatic,14.84,2143.0,170.0,9.25
Mumbai,17003,Honda Brio S MT,Petrol,Manual,19.4,1198.0,86.8,3.15
Hyderabad,80400,Hyundai i10 Magna Optional 1.1L,Petrol,Manual,16.0,1086.0,66.7,2.3
Jaipur,75200,Hyundai Verna 1.6 SX CRDi (O),Diesel,Manual,22.32,1582.0,126.32,5.25
Kochi,41217,Maruti Ciaz VDI SHVS,Diesel,Manual,28.09,1248.0,88.5,7.4
Pune,98293,Ford Ikon 1.3 Flair,Petrol,Manual,13.8,1299.0,70.0,1.55
Pune,54000,Volkswagen Polo 1.2 MPI Highline,Petrol,Manual,16.2,1199.0,74.0,6.0
Chennai,17377,Honda Jazz 1.2 V i VTEC,Petrol,Manual,18.7,1199.0,88.7,5.9
Bangalore,33800,Honda Amaze EX i-Dtech,Diesel,Manual,25.8,1498.0,98.6,4.7
Hyderabad,86157,Hyundai i20 Asta 1.4 CRDi,Diesel,Manual,22.54,1396.0,88.73,6.5
Hyderabad,146824,Maruti Ritz VDi,Diesel,Manual,21.1,1248.0,73.9,3.55
Chennai,55000,Honda City V MT,Petrol,Manual,16.8,1497.0,116.3,7.1
Hyderabad,53293,Skoda Superb 1.8 TSI MT,Petrol,Manual,13.14,1798.0,160.0,6.0
Pune,38000,Maruti Vitara Brezza LDi Option,Diesel,Manual,24.3,1248.0,88.5,7.99
Bangalore,64000,Hyundai i20 Asta,Petrol,Manual,17.0,1197.0,80.0,4.1
Hyderabad,25058,Maruti Alto K10 VXI AGS,Petrol,Automatic,24.07,998.0,67.1,3.95
Kochi,36700,Hyundai EON Era Plus,Petrol,Manual,21.1,814.0,55.2,4.38
Mumbai,35000,Hyundai i10 Sportz,Petrol,Manual,20.36,1197.0,78.9,2.75
Coimbatore,22732,Mercedes-Benz SLK-Class SLK 350,Petrol,Automatic,18.1,3498.0,306.0,55.54
Hyderabad,48000,Audi A6 2.0 TDI Design Edition,Diesel,Automatic,18.53,1968.0,187.74,29.0
Bangalore,62084,Ford EcoSport 1.5 TDCi Titanium,Diesel,Manual,22.77,1498.0,98.59,6.6
Kolkata,39273,Volkswagen Passat Highline DSG,Diesel,Automatic,14.3,1968.0,140.0,6.99
Bangalore,64798,Toyota Innova Crysta 2.4 ZX MT,Diesel,Manual,13.68,2393.0,147.8,18.75
Jaipur,100002,Ford Figo Diesel ZXI,Diesel,Manual,20.0,1399.0,68.0,1.28
Pune,78000,Chevrolet Aveo 1.4,Petrol,Manual,14.49,1399.0,92.7,1.2
Coimbatore,57717,Maruti Ritz LXi,Petrol,Manual,18.5,1197.0,85.8,4.31
Chennai,109000,Land Rover Freelander 2 SE,Diesel,Automatic,12.39,2179.0,147.51,16.5
Coimbatore,74515,Hyundai Grand i10 Asta,Petrol,Manual,18.9,1197.0,82.0,5.64
Coimbatore,50484,Ford Endeavour 3.2 Trend AT 4X4,Diesel,Automatic,10.91,3198.0,197.2,31.12
Kochi,13452,Audi Q5 2008-2012 2.0 TDI,Diesel,Automatic,12.8,1968.0,167.6,25.46
Kochi,37688,Hyundai Verna 1.6 VTVT,Petrol,Manual,17.01,1591.0,121.3,7.88
Chennai,34000,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Diesel,Automatic,13.0,2143.0,204.0,36.0
Pune,120000,Mercedes-Benz M-Class ML 350 4Matic,Diesel,Automatic,0.0,2987.0,165.0,30.0
Pune,64000,Maruti Swift Dzire ZXi,Petrol,Manual,17.5,1298.0,85.8,2.85
Delhi,100000,Honda City 1.3 EXI S,Petrol,Manual,13.0,1343.0,90.0,3.5
Jaipur,75000,Renault Duster 85PS Diesel RxL Optional,Diesel,Manual,20.46,1461.0,83.8,7.5
Hyderabad,86000,Mercedes-Benz New C-Class 220 CDI AT,Diesel,Automatic,14.84,2143.0,170.0,19.0
Hyderabad,69000,BMW X5 xDrive 30d Design Pure Experience 5 Seater,Diesel,Automatic,15.97,2993.0,258.0,54.0
Kochi,41721,Hyundai Xcent 1.2 Kappa SX Option,Petrol,Manual,19.1,1197.0,82.0,4.7
Hyderabad,13000,Maruti Dzire AMT ZXI Plus,Petrol,Automatic,22.0,1197.0,81.8,8.5
Kolkata,38998,BMW 3 Series 320d Corporate Edition,Diesel,Automatic,16.07,1995.0,181.0,17.0
Kochi,54250,Maruti Alto 800 LXI,Petrol,Manual,22.74,796.0,47.3,3.51
Bangalore,45979,Audi A4 2.0 TDI 177 Bhp Premium Plus,Diesel,Automatic,17.11,1968.0,174.33,19.5
Pune,37000,Mini Cooper S,Petrol,Automatic,13.6,1598.0,181.0,17.0
Coimbatore,46983,Audi Q7 3.0 TDI Quattro Premium Plus,Diesel,Automatic,12.07,2967.0,241.4,43.35
Bangalore,40700,Chevrolet Beat Diesel LT,Diesel,Manual,25.44,936.0,57.6,2.65
Kochi,43828,Maruti Wagon R LXI BS IV,Petrol,Manual,20.51,998.0,67.04,3.52
Kolkata,53000,Nissan Terrano XV Premium 110 PS,Diesel,Manual,19.01,1461.0,108.5,6.25
Ahmedabad,100000,BMW 3 Series 320d Luxury Plus,Diesel,Automatic,18.88,1995.0,184.0,24.75
Mumbai,19000,Maruti Swift Dzire VXI,Petrol,Manual,20.85,1197.0,83.14,5.25
Jaipur,84000,Skoda Yeti Elegance 4X2,Diesel,Manual,17.72,1968.0,108.5,11.0
Kochi,37630,Ford EcoSport 1.5 Ti VCT AT Titanium,Petrol,Automatic,15.63,1499.0,110.4,9.1
Chennai,67714,Hyundai i20 1.2 Magna,Petrol,Manual,18.5,1197.0,80.0,3.25
Pune,32000,Maruti S Cross DDiS 200 Sigma Option,Diesel,Manual,15.0,1248.0,88.5,8.5
Pune,51000,Hyundai Verna Transform VTVT,Petrol,Manual,16.2,1599.0,103.2,3.1
Kochi,58390,BMW 3 Series 320d Luxury Line,Diesel,Automatic,18.88,1995.0,184.0,19.86
Kolkata,14000,Hyundai Grand i10 1.2 CRDi Magna,Diesel,Manual,24.0,1186.0,73.97,4.9
Delhi,55818,Honda City i-VTEC V,Petrol,Manual,17.4,1497.0,117.3,5.7
Chennai,97800,Maruti Swift 1.3 VXi,Petrol,Manual,16.1,1616.5734702372692,112.76521404351512,1.75
Kolkata,52241,Maruti Swift VDI BSIV,Diesel,Manual,25.2,1248.0,74.0,2.9
Coimbatore,25433,Maruti Baleno Zeta 1.3,Diesel,Manual,27.39,1248.0,74.0,7.83
Kochi,40611,Tata Safari Storme 2012-2015 LX,Diesel,Manual,14.0,2179.0,138.1,8.15
Bangalore,72000,Hyundai A ent GLS,Petrol,Manual,13.2,1495.0,94.0,2.0
Hyderabad,54631,Maruti Swift LDI SP Limited Edition,Diesel,Manual,25.2,1248.0,74.0,6.25
Bangalore,60000,Maruti Swift VDI BSIV,Diesel,Manual,17.8,1248.0,112.76521404351512,3.4
Coimbatore,24941,Tata Nano XTA,Petrol,Automatic,21.9,624.0,37.48,3.19
Ahmedabad,63939,Maruti Ertiga VDI,Diesel,Manual,25.47,1248.0,88.5,7.75
Delhi,35214,Maruti Celerio VXI AMT,Petrol,Automatic,23.1,998.0,67.04,3.2
Delhi,63000,Maruti Swift VDI BSIV,Diesel,Manual,25.2,1248.0,74.0,4.9
Kochi,121377,Volkswagen Vento Petrol Highline,Petrol,Manual,15.04,1598.0,103.6,3.8
Chennai,100970,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Diesel,Automatic,15.5,1896.0,105.0,4.0
Hyderabad,60000,Mini Cooper 5 DOOR D,Diesel,Automatic,20.7,1496.0,113.98,23.5
Chennai,77650,Tata Indica V2 DLS,Diesel,Manual,17.2,1396.0,53.5,1.15
Hyderabad,71297,Hyundai Santro Xing XO,Petrol,Manual,17.0,1086.0,112.76521404351512,2.2
Mumbai,55001,Land Rover Range Rover 3.0 D,Diesel,Automatic,0.0,1616.5734702372692,112.76521404351512,26.5
Bangalore,18955,Honda City i-VTEC CVT VX,Petrol,Automatic,18.0,1497.0,117.3,10.65
Coimbatore,47877,Jaguar XF 2.2 Litre Luxury,Diesel,Automatic,16.36,2179.0,187.7,35.68
Kochi,43368,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Diesel,Automatic,15.0,2143.0,204.0,31.94
Chennai,73000,Chevrolet Cruze LTZ,Diesel,Manual,18.3,1991.0,147.9,4.2
Ahmedabad,72007,Mahindra XUV500 W8 2WD,Diesel,Manual,15.1,2179.0,140.0,9.9
Kochi,56778,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Petrol,Automatic,11.74,1796.0,186.0,15.46
Kochi,20024,Honda Jazz VX,Petrol,Manual,18.2,1199.0,88.7,8.46
Kolkata,42103,Toyota Etios G,Petrol,Manual,16.78,1496.0,88.73,3.25
Hyderabad,67147,Maruti Alto LXi BSIII,Petrol,Manual,19.7,796.0,46.3,2.6
Coimbatore,37806,Maruti Swift VXI BSIV,Petrol,Manual,20.4,1197.0,81.8,5.2
Pune,85000,Maruti A-Star Vxi,Petrol,Manual,19.0,998.0,66.1,1.8
Chennai,35000,Tata Nano Lx BSIV,Petrol,Manual,25.4,624.0,37.48,1.6
Kolkata,72035,Ford Figo Titanium Diesel,Diesel,Manual,25.5,1498.0,99.0,2.5
Jaipur,48500,Fiat Linea Emotion,Petrol,Manual,16.0,1368.0,90.0,2.5
Coimbatore,28854,Ford Figo Aspire 1.2 Ti-VCT Trend,Petrol,Manual,18.16,1196.0,86.8,6.7
Hyderabad,92450,Maruti Baleno LXI,Petrol,Manual,15.4,1590.0,94.0,1.2
Coimbatore,14351,BMW 3 Series 320d Luxury Line,Diesel,Automatic,18.88,1995.0,184.0,35.55
Jaipur,51087,Chevrolet Cruze LTZ,Diesel,Manual,17.9,1998.0,163.7,7.75
Chennai,50000,Mahindra Scorpio 2.6 DX,Diesel,Manual,12.7,2609.0,116.6,1.94
Hyderabad,73000,Tata Indica V2 eLS,Diesel,Manual,25.0,1396.0,69.0,2.2
Ahmedabad,60000,Chevrolet Cruze LTZ AT,Diesel,Automatic,18.1,1991.0,147.9,3.8
Chennai,50000,Toyota Innova 2.5 V Diesel 8-seater,Diesel,Manual,12.8,2494.0,102.0,15.65
Coimbatore,36797,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Diesel,Automatic,19.27,2143.0,167.62,39.47
Kolkata,50000,Maruti Ritz VXi,Petrol,Manual,18.5,1197.0,85.8,1.5
Ahmedabad,94000,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Diesel,Manual,12.8,2494.0,102.0,8.85
Bangalore,74000,Toyota Fortuner 4x4 MT,Diesel,Manual,12.55,2982.0,168.5,17.9
Coimbatore,41016,Hyundai i10 Sportz AT,Petrol,Automatic,16.95,1197.0,78.9,5.08
Bangalore,67000,Hyundai Verna 1.6 SX,Diesel,Manual,22.32,1582.0,126.32,6.25
Bangalore,76927,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Diesel,Automatic,15.73,1968.0,174.33,22.75
Kolkata,17088,Chevrolet Beat LS,Petrol,Manual,18.6,1199.0,79.4,1.46
Pune,112808,Ford Fiesta 1.4 Duratorq ZXI,Diesel,Manual,17.8,1399.0,68.0,2.05
Coimbatore,74980,Ford Figo Diesel EXI,Diesel,Manual,20.0,1399.0,68.0,4.08
Hyderabad,44600,Maruti Celerio VXI AT,Petrol,Automatic,23.1,998.0,67.04,4.55
Mumbai,37000,Mercedes-Benz A Class A180 CDI,Diesel,Automatic,20.0,2143.0,107.3,14.0
Ahmedabad,21000,Hyundai Creta 1.6 SX,Petrol,Manual,15.8,1591.0,121.3,10.9
Bangalore,81245,Maruti Wagon R VXI BS IV,Petrol,Manual,18.9,998.0,67.1,2.45
Delhi,70000,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Diesel,Automatic,10.0,2148.0,170.0,15.8
Mumbai,4018,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Petrol,Manual,18.88,1499.0,110.4,8.25
Delhi,70000,Renault Koleos 2.0 Diesel,Diesel,Automatic,13.73,1995.0,148.0,8.5
Coimbatore,56532,Mahindra XUV500 W10 2WD,Diesel,Manual,16.0,2179.0,140.0,15.54
Hyderabad,26875,Maruti Omni E 8 Str STD,Petrol,Manual,16.8,796.0,34.2,2.35
Coimbatore,72599,Maruti Wagon R VXI,Petrol,Manual,22.5,998.0,67.04,4.32
Jaipur,205000,Ford Endeavour XLT TDCi 4X2,Diesel,Manual,13.1,2499.0,141.0,3.9
Hyderabad,98000,Hyundai Verna 1.6 SX,Diesel,Manual,22.32,1582.0,126.32,5.2
Mumbai,19500,Hyundai i20 Magna 1.2,Petrol,Manual,18.6,1197.0,81.83,5.85
Bangalore,68000,Maruti Ertiga ZXI,Petrol,Manual,16.02,1373.0,93.7,6.25
Coimbatore,19654,Mahindra XUV500 W9 AT,Diesel,Automatic,14.0,2179.0,155.0,17.63
Mumbai,26000,Maruti SX4 S Cross DDiS 200 Zeta,Diesel,Manual,23.65,1248.0,88.5,9.75
Bangalore,10000,Mercedes-Benz SLK-Class SLK 350,Petrol,Automatic,18.1,3498.0,306.0,55.0
Hyderabad,75020,Volkswagen Polo Diesel Comfortline 1.2L,Diesel,Manual,22.07,1199.0,73.9,4.1
Hyderabad,157000,Toyota Fortuner 4x4 MT,Diesel,Manual,12.55,2982.0,168.5,11.99
Kochi,43773,Mahindra XUV500 W10 2WD,Diesel,Manual,16.0,2179.0,140.0,13.54
Mumbai,21000,Mercedes-Benz GLE 250d,Diesel,Automatic,17.9,2143.0,201.15,56.0
Chennai,23280,Honda Jazz 1.2 VX i VTEC,Petrol,Manual,18.7,1199.0,88.7,6.5
Pune,88000,Maruti Swift Dzire VDI,Diesel,Manual,23.4,1248.0,74.0,4.75
Hyderabad,67000,Hyundai Verna 1.6 SX VTVT,Petrol,Manual,17.01,1591.0,121.3,5.6
Coimbatore,59636,Ford Endeavour 3.2 Titanium AT 4X4,Diesel,Automatic,10.91,3198.0,197.0,29.2
Kolkata,11000,Hyundai i20 1.2 Asta Option,Petrol,Manual,18.6,1197.0,81.83,6.35
Mumbai,60669,Honda City 1.5 V MT Sunroof,Petrol,Manual,16.8,1497.0,116.3,4.95
Hyderabad,12000,Honda Amaze VX Diesel,Diesel,Manual,27.4,1498.0,98.6,8.5
Kolkata,35000,Hyundai Verna 1.6 SX VTVT (O),Petrol,Manual,17.1,1591.0,121.3,4.5
Chennai,65000,Honda Mobilio S i DTEC,Diesel,Manual,24.2,1498.0,98.6,5.5
Kochi,39929,Maruti Ertiga ZDI,Diesel,Manual,20.77,1248.0,88.8,6.56
Pune,49000,Maruti Alto K10 LXI,Petrol,Manual,24.07,998.0,67.1,2.3
Pune,77757,Toyota Qualis FS B2,Diesel,Manual,13.1,2446.0,75.0,3.5
Kochi,21456,Hyundai i10 Sportz,Petrol,Manual,20.36,1197.0,78.9,4.55
Bangalore,74000,Skoda Laura 1.9 TDI AT Ambiente,Diesel,Automatic,17.0,1896.0,105.0,7.75
Mumbai,37000,Hyundai i20 Asta Option 1.2,Petrol,Manual,18.6,1197.0,81.83,5.25
Coimbatore,108640,BMW 5 Series 2003-2012 530d Highline,Diesel,Automatic,11.5,2993.0,235.0,23.29
Mumbai,38000,BMW 3 Series 320d M Sport,Diesel,Automatic,22.69,1995.0,190.0,23.99
Pune,80000,Chevrolet Aveo 1.4 LT ABS BSIV,Petrol,Manual,14.49,1399.0,92.7,1.79
Mumbai,47000,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Diesel,Automatic,14.21,2143.0,203.0,13.9
Kolkata,31000,Audi A6 2011-2015 2.0 TDI Premium Plus,Diesel,Automatic,17.68,1968.0,174.33,18.95
Kolkata,40000,Maruti Wagon R LXI BS IV,Petrol,Manual,20.51,998.0,67.04,2.49
Jaipur,4152,Renault KWID RXT,Petrol,Manual,25.17,799.0,53.3,3.15
Mumbai,51000,Volkswagen Ameo 1.5 TDI Highline,Diesel,Manual,21.66,1498.0,108.62,6.45
Ahmedabad,55000,Volkswagen Polo Diesel Comfortline 1.2L,Diesel,Manual,22.07,1199.0,73.9,4.25
Hyderabad,58500,Maruti Alto 800 LXI,Petrol,Manual,22.74,796.0,47.3,2.75
Kochi,58620,Hyundai i20 Asta Option 1.2,Petrol,Manual,18.6,1197.0,81.83,7.14
Mumbai,29605,Toyota Etios Liva G,Petrol,Manual,18.3,1197.0,112.76521404351512,2.44
Jaipur,71172,Hyundai i20 1.2 Sportz,Petrol,Manual,17.0,1197.0,80.0,3.5
Chennai,12000,Hyundai i20 1.4 Asta,Diesel,Manual,22.54,1396.0,88.73,7.3
Kolkata,25000,Maruti Wagon R LXI Optional,Petrol,Manual,20.51,998.0,67.04,2.75
Bangalore,43000,Hyundai i20 1.4 Asta Option,Diesel,Manual,22.54,1396.0,88.73,8.2
Mumbai,57022,Volkswagen Polo GT TSI,Petrol,Automatic,17.21,1197.0,103.6,6.51
Pune,92000,Ford Figo Diesel Titanium,Diesel,Manual,20.0,1399.0,68.05,4.25
Coimbatore,33372,Maruti Swift ZXI,Petrol,Manual,18.6,1197.0,85.8,6.21
Kochi,52625,Hyundai Grand i10 CRDi Magna,Diesel,Manual,24.0,1120.0,70.0,4.58
Chennai,215000,Mahindra Xylo H4,Diesel,Manual,14.02,2179.0,118.3,7.5
Delhi,65537,Maruti Alto Green LXi (CNG),CNG,Manual,26.83,796.0,38.4,2.1
Coimbatore,60138,Hyundai i10 Magna 1.1,Petrol,Manual,19.81,1086.0,68.05,4.09
Mumbai,84000,Skoda Octavia Elegance 2.0 TDI AT,Diesel,Automatic,19.3,1968.0,141.0,10.75
Mumbai,47000,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Diesel,Automatic,15.97,2993.0,258.0,41.5
Hyderabad,33450,Maruti Celerio VXI AT,Petrol,Automatic,23.1,998.0,67.04,4.4
Jaipur,125000,Volkswagen Vento Diesel Comfortline,Diesel,Manual,20.54,1598.0,103.6,6.25
Pune,99606,BMW 3 Series 320d Highline,Diesel,Automatic,16.07,1995.0,181.0,10.5
Mumbai,64000,Maruti Ertiga ZDI,Diesel,Manual,20.77,1248.0,88.8,7.25
Hyderabad,51000,Ford Figo Diesel ZXI,Diesel,Manual,20.0,1399.0,68.05,3.2
Mumbai,57000,Volkswagen Polo 1.2 MPI Highline,Petrol,Manual,16.47,1198.0,74.0,3.95
Coimbatore,48040,Audi A6 3.0 TDI quattro,Diesel,Automatic,16.77,2967.0,241.38,12.07
Pune,43200,Toyota Innova Crysta 2.4 ZX MT,Diesel,Manual,13.68,2393.0,147.8,18.6
Delhi,66000,Hyundai Verna 1.6 CRDi EX AT,Diesel,Automatic,22.32,1582.0,126.3,5.7
Kolkata,31000,Hyundai Santro Xing GL Plus,Petrol,Manual,17.92,1086.0,62.1,1.75
Delhi,46000,Audi A4 2.0 TDI,Diesel,Automatic,16.55,1968.0,147.51,10.99
Kolkata,47346,Audi A4 2.0 TDI,Diesel,Automatic,16.55,1968.0,147.51,14.5
Jaipur,100000,Skoda Laura 1.9 TDI MT Ambiente,Diesel,Manual,17.0,1896.0,105.0,3.11
Coimbatore,63856,Honda CR-V 2.0L 2WD AT,Petrol,Automatic,13.7,1997.0,153.86,13.96
Coimbatore,72996,Hyundai Verna 1.6 SX CRDi (O),Diesel,Manual,22.32,1582.0,126.32,7.11
Chennai,23000,Honda Mobilio RS i DTEC,Diesel,Manual,24.5,1498.0,98.6,6.9
Coimbatore,15985,Hyundai i20 1.2 Asta Option,Petrol,Manual,18.6,1197.0,81.83,7.77
Kolkata,98000,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Diesel,Manual,12.8,2494.0,102.0,5.5
Hyderabad,70089,Hyundai i20 Magna 1.2,Petrol,Manual,18.6,1197.0,81.83,5.35
Chennai,99000,Mahindra Bolero VLX BS IV,Diesel,Manual,13.6,2523.0,63.0,4.5
Jaipur,72000,Volkswagen Vento 1.5 TDI Comfortline,Diesel,Manual,20.34,1498.0,103.2,4.75
Coimbatore,44194,Jaguar XF 2.2 Litre Luxury,Diesel,Automatic,16.36,2179.0,187.7,32.8
Mumbai,102000,Maruti Zen LXi - BS III,Petrol,Manual,17.3,993.0,60.0,0.7
Coimbatore,56652,Mercedes-Benz E-Class Facelift,Diesel,Automatic,13.0,2987.0,258.0,50.29
Mumbai,41650,Toyota Fortuner 3.0 Diesel,Diesel,Manual,11.5,2982.0,171.0,10.99
Coimbatore,61717,Hyundai Grand i10 AT Asta,Petrol,Automatic,18.9,1197.0,82.0,5.57
Jaipur,25302,Hyundai Xcent 1.2 CRDi S,Diesel,Manual,25.4,1186.0,73.97,5.9
Coimbatore,47016,Hyundai Creta 1.6 VTVT S,Petrol,Manual,15.29,1591.0,121.3,9.43
Bangalore,69000,Hyundai i10 Sportz,Petrol,Manual,20.36,1197.0,78.9,2.9
Delhi,32700,Honda Brio S MT,Petrol,Manual,19.4,1198.0,86.8,3.68
Coimbatore,101337,Toyota Fortuner 4x2 AT,Diesel,Automatic,12.55,2982.0,168.5,21.67
Ahmedabad,59000,Audi A4 2.0 TDI Multitronic,Diesel,Automatic,16.55,1968.0,140.0,12.5
Kochi,41736,Toyota Innova Crysta 2.8 ZX AT,Diesel,Automatic,11.36,2755.0,171.5,19.92
Jaipur,71649,Honda City i DTEC VX,Diesel,Manual,25.1,1498.0,98.6,6.75
Kochi,80606,Honda City i DTEC VX,Diesel,Manual,25.1,1498.0,98.6,6.96
Jaipur,63262,Renault KWID 1.0 RXT Optional,Petrol,Manual,21.7,999.0,67.0,3.25
Hyderabad,5456,Maruti Swift DDiS ZDI Plus,Diesel,Manual,28.4,1248.0,74.0,8.65
Pune,7500,Maruti Celerio VXI Optional AMT,Petrol,Automatic,23.1,998.0,67.04,5.0
Delhi,66000,Mahindra XUV500 W8 2WD,Diesel,Manual,15.1,2179.0,140.0,5.5
Jaipur,66770,Hyundai i10 Magna,Petrol,Manual,20.36,1197.0,78.9,2.6
Kochi,58472,Hyundai i10 Magna 1.1,Petrol,Manual,19.81,1086.0,68.05,3.41
Kolkata,46687,Maruti Dzire VXI,Petrol,Manual,22.0,1197.0,81.8,2.7
Chennai,77000,Maruti Grand Vitara AT,Petrol,Automatic,9.7,1995.0,163.5,5.5
Kolkata,7000,Audi TT 40 TFSI,Petrol,Automatic,14.33,1984.0,226.6,35.0
Mumbai,48000,Mercedes-Benz New C-Class C 200 CGI,Petrol,Automatic,14.74,1991.0,184.0,9.75
Mumbai,47000,Nissan Sunny 2011-2014 Diesel XV,Diesel,Manual,21.64,1461.0,84.8,4.25
Ahmedabad,51530,Maruti Wagon R LXI,Petrol,Manual,18.9,998.0,67.1,3.2
Bangalore,25789,Maruti Swift Dzire ZDI,Diesel,Manual,23.4,1248.0,74.0,6.85
Delhi,48000,Honda Amaze S i-Dtech,Diesel,Manual,25.8,1498.0,98.6,4.5
Delhi,52000,Maruti Swift ZDI,Diesel,Manual,28.4,1248.0,74.0,3.55
Hyderabad,95637,Hyundai A ent Executive CNG,CNG,Manual,13.2,1495.0,93.7,1.9
Hyderabad,131000,Mahindra Scorpio LX 2.6 Turbo,Diesel,Manual,10.5,2609.0,120.0,3.6
Kochi,42076,Mercedes-Benz E-Class E250 CDI Avantgrade,Diesel,Automatic,13.0,2143.0,201.1,21.8
Mumbai,76000,Toyota Fortuner 4x2 Manual,Diesel,Manual,13.0,2982.0,168.5,13.5
Bangalore,20487,Datsun redi-GO T Option,Petrol,Manual,22.7,799.0,53.64,2.66
Delhi,43000,Honda City V MT,Petrol,Manual,16.8,1497.0,116.3,3.75
Pune,17000,Toyota Camry Hybrid,Petrol,Automatic,19.16,2494.0,158.2,32.0
Coimbatore,60805,Honda City i DTec V,Diesel,Manual,26.0,1498.0,98.6,8.07
Kochi,58775,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Diesel,Manual,19.33,1968.0,138.1,5.64
Hyderabad,70181,Audi A6 2011-2015 2.0 TDI,Diesel,Automatic,17.68,1968.0,174.33,23.99
Coimbatore,85827,Maruti Ertiga VDI,Diesel,Manual,20.77,1248.0,88.76,7.5
Jaipur,58205,Mercedes-Benz New C-Class C 220 CDI Style,Diesel,Automatic,19.27,2143.0,167.62,27.0
Mumbai,91000,Maruti Swift Dzire Vdi BSIV,Diesel,Manual,19.3,1248.0,73.9,2.85
Pune,74000,Renault Duster 110PS Diesel RxZ Pack,Diesel,Manual,19.01,1461.0,108.45,6.35
Hyderabad,79324,Maruti Ritz VDi,Diesel,Manual,21.1,1248.0,73.9,3.3
Bangalore,38623,Maruti Swift Dzire VXI,Petrol,Manual,19.1,1197.0,85.8,5.0
Coimbatore,59923,Maruti Swift ZDi,Diesel,Manual,22.9,1248.0,74.0,6.46
Jaipur,23360,Hyundai EON Sportz,Petrol,Manual,21.1,814.0,55.2,3.75
Kochi,61495,Maruti Zen VXI BSII,Petrol,Manual,17.3,993.0,60.0,1.52
Coimbatore,56661,Maruti Eeco 7 Seater Standard,Petrol,Manual,15.1,1196.0,73.0,3.61
Coimbatore,40318,Audi Q5 30 TDI quattro Premium,Diesel,Automatic,14.16,1968.0,174.3,43.74
Chennai,60000,Audi Q3 2.0 TDI,Diesel,Automatic,15.73,1968.0,174.33,20.0
Pune,103000,Smart Fortwo CDI AT,Diesel,Automatic,0.0,799.0,112.76521404351512,3.0
Hyderabad,130000,Maruti Swift Dzire VDi,Diesel,Manual,19.3,1248.0,73.9,3.65
Mumbai,20000,Tata Sumo DX,Diesel,Manual,14.07,1978.0,83.1,5.25
Hyderabad,76000,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Diesel,Automatic,15.97,2993.0,258.0,58.0
Mumbai,30000,Honda City i-VTEC CVT VX,Petrol,Automatic,18.0,1497.0,117.3,8.65
Delhi,150000,Tata Indigo eCS eLX BS IV,Diesel,Manual,25.0,1396.0,69.01,2.5
Chennai,28000,Volkswagen Vento TSI,Petrol,Automatic,16.93,1197.0,103.6,7.75
