Year,Location,Name,distance,fule,Transmission,Owner_Type,Mileage,Engine,price,Price
2016,Coimbatore,Mahindra XUV500 W10 AWD,67472,Diesel,Manual,First,16.0,2179.0,,14.5
2013,Hyderabad,Maruti Swift VDI,84000,Diesel,Manual,First,28.4,1248.0,8.44 Lakh,5.65
2011,Kolkata,Maruti Ritz VDi,77400,Diesel,Manual,First,21.1,1248.0,,2.5
2017,Mumbai,Mercedes-Benz New C-Class C 250 CDI Avantgarde,14470,Diesel,Automatic,First,19.71,2143.0,,38.5
2014,Kolkata,Renault Duster 110PS Diesel RxZ,52108,Diesel,Manual,First,19.01,1461.0,,5.49
2013,Kolkata,Maruti Swift Dzire VXI,40000,Petrol,Manual,First,19.1,1197.0,,3.55
2014,Jaipur,Toyota Innova 2.5 VX (Diesel) 7 Seater,105044,Diesel,Manual,First,12.99,2494.0,,10.75
2016,Delhi,Hyundai Creta 1.6 SX Option,24347,Petrol,Manual,First,15.8,1591.0,16.06 Lakh,11.0
2014,Ahmedabad,Maruti SX4 ZDI,58000,Diesel,Manual,First,21.79,1248.0,,4.5
2014,Kochi,Mahindra XUV500 W8 2WD,49663,Diesel,Manual,First,15.1,2179.0,,8.42
2017,Mumbai,Honda City i-VTEC CVT VX,17000,Petrol,Automatic,First,18.0,1497.0,15.29 Lakh,11.6
2016,Kochi,Jaguar XF 2.2 Litre Luxury,13418,Diesel,Automatic,First,16.36,2179.0,,33.63
2008,Pune,Ford Fiesta 1.4 SXi TDCi ABS,117080,Diesel,Manual,Third,17.8,1399.0,,2.25
2010,Mumbai,BMW 5 Series 523i Sedan,74000,Petrol,Automatic,First,10.8,2497.0,,12.95
2010,Hyderabad,Maruti Swift VDI BSIV W ABS,86514,Diesel,Manual,First,17.8,1248.0,,4.25
2014,Coimbatore,Audi A6 2011-2015 2.0 TDI Premium Plus,66882,Diesel,Automatic,First,17.68,1968.0,,25.02
2014,Kochi,Honda Brio 1.2 VX MT,41460,Petrol,Manual,First,18.5,1198.0,6.63 Lakh,3.95
2011,Mumbai,Honda City 1.5 V AT,57000,Petrol,Automatic,First,16.8,1497.0,,4.4
2015,Bangalore,Volkswagen Polo Petrol Comfortline 1.2L,34010,Petrol,Manual,Third,16.47,1198.0,,4.95
2010,Pune,Mahindra Scorpio SLE BSIII,96813,Diesel,Manual,Second,12.05,2179.0,,5.5
2011,Mumbai,Honda City V MT,84000,Petrol,Manual,First,16.8,1497.0,,3.25
2013,Kochi,Skoda Rapid 1.6 MPI Elegance,50004,Petrol,Manual,First,15.0,1598.0,,4.02
2016,Coimbatore,Mahindra XUV500 W6 2WD,67995,Diesel,Manual,First,16.0,2179.0,,11.73
2012,Chennai,Volkswagen Jetta 2007-2011 2.0 TDI Trendline,55000,Diesel,Manual,First,15.0,1896.0,,9.5
2017,Hyderabad,Maruti Baleno Alpha Automatic,14900,Petrol,Automatic,First,21.4,1197.0,,8.6
2013,Jaipur,Honda Amaze EX i-Dtech,70961,Diesel,Manual,First,25.8,1498.0,,4.0
2015,Mumbai,Volkswagen Vento 1.6 Highline,40194,Petrol,Manual,First,15.04,1598.0,,5.55
2015,Hyderabad,Maruti Alto 800 LXI,96000,Petrol,Manual,First,22.74,796.0,,2.5
2017,Mumbai,Land Rover Discovery HSE Luxury 3.0 TD6,35000,Diesel,Automatic,First,18.0,2993.0,1.27 Cr,41.6
2015,Delhi,Honda City i VTEC CVT VX,50000,Petrol,Automatic,First,18.0,1497.0,,7.41
2014,Mumbai,Nissan Terrano XL 110 PS,50000,Diesel,Manual,First,19.01,1461.0,,6.5
2008,Mumbai,Maruti Alto LXi,26299,Petrol,Manual,First,19.7,796.0,,1.2
2015,Bangalore,Toyota Fortuner 2.8 4WD MT,150386,Diesel,Manual,First,14.24,2755.0,39.6 Lakh,23.0
2012,Kolkata,Hyundai i20 1.4 CRDi Magna,60000,Diesel,Manual,First,21.9,1396.0,,2.74
2013,Hyderabad,Ford Figo Diesel Titanium,65000,Diesel,Manual,First,20.0,1399.0,,3.9
2017,Ahmedabad,Maruti Vitara Brezza ZDi Plus,80000,Diesel,Manual,First,24.3,1248.0,10.91 Lakh,8.0
2012,Chennai,Hyundai Verna 1.6 SX,92000,Diesel,Manual,Third,22.32,1582.0,,4.0
2016,Mumbai,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,13000,Petrol,Automatic,First,12.95,1999.0,25.75 Lakh,17.75
2013,Coimbatore,Maruti Ritz VDi,73278,Diesel,Manual,First,21.1,1248.0,,5.05
2011,Mumbai,Audi A4 2.0 TFSI,38000,Petrol,Automatic,First,10.8,1984.0,,12.0
2016,Kochi,Mercedes-Benz E-Class E250 CDI Launch Edition,46936,Diesel,Automatic,First,13.0,2143.0,,29.6
2015,Jaipur,Renault Duster 85PS Diesel RxE,55000,Diesel,Manual,First,19.87,1461.0,,6.5
2014,Mumbai,Honda Amaze S AT i-Vtech,19000,Petrol,Automatic,First,15.5,1198.0,,4.75
2016,Coimbatore,Volvo S60 D4 SUMMUM,42259,Diesel,Automatic,First,9.0,1984.0,,24.36
2011,Mumbai,Maruti Swift Dzire 1.2 Lxi BSIV,14000,Petrol,Manual,Second,17.5,1197.0,,3.2
2016,Kolkata,Maruti Wagon R VXI,16956,Petrol,Manual,First,22.5,998.0,5.29 Lakh,3.6
2017,Coimbatore,Maruti Omni MPI STD BSIV,15473,Petrol,Manual,First,16.8,796.0,,3.58
2011,Delhi,Maruti SX4 VDI,75000,Diesel,Manual,First,21.5,1248.0,,2.5
2013,Ahmedabad,Ford Fiesta Titanium 1.5 TDCi,96000,Diesel,Manual,Second,23.5,1498.0,,3.5
2015,Delhi,Toyota Camry Hybrid,25000,Petrol,Automatic,First,19.16,2494.0,,25.0
2010,Mumbai,Maruti Wagon R VXI,38000,Petrol,Manual,Second,22.5,998.0,5.61 Lakh,1.75
2005,Bangalore,Mercedes-Benz E-Class E270 CDI,54000,Diesel,Automatic,First,11.0,2987.0,,10.0
2018,Jaipur,Maruti Baleno Zeta Automatic,4131,Petrol,Automatic,First,21.4,1197.0,,7.75
2016,Hyderabad,Honda Jazz 1.2 VX i VTEC,31700,Petrol,Manual,First,18.7,1199.0,,6.45
2017,Pune,Mahindra Scorpio S10 AT 4WD,66988,Diesel,Automatic,First,15.4,2179.0,,10.0
2014,Mumbai,Volkswagen Polo 1.2 MPI Trendline,54230,Petrol,Manual,First,16.47,1198.0,,4.5
2015,Kolkata,Hyundai i20 1.2 Era,35000,Petrol,Manual,First,17.0,1197.0,,3.4
2010,Mumbai,Toyota Camry W4 (AT),62714,Petrol,Automatic,First,12.1,2362.0,,4.5
2015,Hyderabad,Maruti Wagon R VXI,45295,Petrol,Manual,First,18.9,998.0,,4.3
2018,Pune,BMW 5 Series 2013-2017 520d M Sport,7000,Diesel,Automatic,First,18.12,1995.0,,46.0
2016,Chennai,Maruti Alto K10 VXI AGS,57000,Petrol,Automatic,First,24.07,998.0,,3.4
2013,Delhi,Mercedes-Benz New C-Class 220 CDI AT,40100,Diesel,Automatic,First,14.84,2143.0,,14.5
2013,Delhi,Maruti Alto 800 2016-2019 LXI,56000,Petrol,Manual,First,24.7,796.0,,2.1
2012,Mumbai,Maruti Swift VXI,15000,Petrol,Manual,First,18.6,1197.0,,3.65
2014,Kolkata,Chevrolet Sail Hatchback 1.2 LS ABS,14000,Petrol,Manual,First,18.2,1199.0,,3.0
2009,Ahmedabad,Hyundai i20 Asta 1.4 CRDi (Diesel),68000,Diesel,Manual,Second,23.0,1396.0,,3.95
2012,Delhi,Skoda Superb 2.5 TDi AT,83000,Diesel,Automatic,First,11.9,2496.0,,6.75
2013,Kochi,Toyota Corolla Altis D-4D G,81504,Diesel,Manual,First,21.43,1364.0,,6.53
2015,Hyderabad,Toyota Fortuner 4x2 Manual,73500,Diesel,Manual,First,13.0,2982.0,,22.0
2013,Pune,Skoda Rapid 1.6 MPI AT Elegance,52900,Petrol,Automatic,First,14.3,1598.0,,4.75
2017,Mumbai,Honda Brio 1.2 VX AT,20000,Petrol,Automatic,First,16.5,1198.0,8.05 Lakh,5.99
2011,Jaipur,Volkswagen Polo Petrol Comfortline 1.2L,46000,Petrol,Manual,First,16.47,1198.0,,3.05
2010,Delhi,Volkswagen Polo Petrol Comfortline 1.2L,65000,Petrol,Manual,First,16.47,1198.0,,2.4
2007,Pune,Maruti Zen Estilo LXI BSIII,42000,Petrol,Manual,Third,18.2,998.0,,1.3
2016,Kochi,Toyota Etios Cross 1.4L GD,36681,Diesel,Manual,First,23.59,1364.0,8.82 Lakh,6.71
2014,Ahmedabad,Mahindra XUV500 W8 2WD,67000,Diesel,Manual,Second,15.1,2179.0,,7.2
2016,Chennai,Hyundai Grand i10 AT Asta,18000,Petrol,Automatic,First,18.9,1197.0,,5.4
2015,Kochi,Ford Ecosport 1.5 DV5 MT Titanium Optional,56409,Diesel,Manual,First,22.7,1498.0,,6.63
2016,Mumbai,Maruti Ertiga VXI CNG,65263,CNG,Manual,First,17.5,1373.0,,7.5
2018,Coimbatore,Honda City i-VTEC CVT ZX,20300,Petrol,Automatic,First,18.0,1497.0,17.38 Lakh,14.21
2010,Kolkata,Honda City 1.5 V MT,45008,Petrol,Manual,First,17.0,1497.0,,3.0
2017,Kochi,Maruti Celerio ZXI MT,21799,Petrol,Manual,First,23.1,998.0,5.69 Lakh,5.11
2011,Pune,Volkswagen Vento Petrol Highline,57328,Petrol,Manual,First,15.04,1598.0,,3.39
2017,Hyderabad,Toyota Innova Crysta 2.8 ZX AT,35358,Diesel,Automatic,First,11.36,2755.0,26.56 Lakh,22.99
2009,Delhi,Hyundai i20 Magna,46946,Petrol,Manual,Second,18.5,1197.0,,2.35
2012,Kolkata,Maruti Ritz VDi,39772,Diesel,Manual,First,23.2,1248.0,,2.85
2014,Delhi,Audi A6 2011-2015 2.0 TDI Premium Plus,58000,Diesel,Automatic,First,17.68,1968.0,,18.5
2014,Bangalore,Renault Duster Petrol RxL,52000,Petrol,Manual,First,13.24,1598.0,,5.99
2008,Hyderabad,Honda Civic 2006-2010 1.8 V MT,152000,Petrol,Manual,Second,13.5,1799.0,,3.0
2016,Jaipur,Tata Tiago 1.2 Revotron XT,42700,Petrol,Manual,First,23.84,1199.0,5.61 Lakh,3.6
2014,Hyderabad,Audi A4 2.0 TDI,60000,Diesel,Automatic,First,16.55,1968.0,,24.0
2015,Coimbatore,Maruti Swift Dzire VXI,33195,Petrol,Manual,First,19.1,1197.0,,6.26
2010,Hyderabad,Toyota Fortuner 2.8 4WD MT,110000,Diesel,Manual,First,14.24,2755.0,37.51 Lakh,13.7
2016,Mumbai,Mercedes-Benz M-Class ML 250 CDI,52000,Diesel,Automatic,First,15.26,2143.0,,35.0
2015,Kochi,Hyundai i20 Magna 1.4 CRDi,64399,Diesel,Manual,First,21.9,1396.0,,5.02
2015,Mumbai,Maruti Wagon R VXI 1.2,55000,Petrol,Manual,First,21.5,1197.0,5.88 Lakh,3.1
2012,Bangalore,Volkswagen Vento Diesel Highline,50000,Diesel,Manual,First,20.54,1598.0,,5.5
2014,Kolkata,Maruti Swift Dzire VXI,33485,Petrol,Manual,First,19.1,1197.0,,3.59
2015,Kolkata,Fiat Linea Emotion (Diesel),32000,Diesel,Manual,First,20.4,1248.0,,4.65
2009,Bangalore,Honda City 1.5 V MT,71400,Petrol,Manual,Third,17.0,1497.0,,3.8
2016,Hyderabad,Hyundai Creta 1.6 SX Plus Diesel,41713,Diesel,Manual,First,19.67,1582.0,,12.5
2017,Hyderabad,Honda City i-DTEC ZX,46000,Diesel,Manual,First,25.6,1498.0,16.95 Lakh,12.9
2015,Hyderabad,Maruti Omni 8 Seater BSIV,52950,Petrol,Manual,First,14.0,796.0,,2.35
2015,Chennai,Maruti Swift LXI Option,29500,Petrol,Manual,First,20.4,1197.0,,4.15
2012,Coimbatore,Mercedes-Benz M-Class ML 350 CDI Corporate,63888,Diesel,Automatic,First,14.0,2987.0,,22.58
2016,Ahmedabad,Maruti Alto 800 2016-2019 LXI,60000,Petrol,Manual,First,24.7,796.0,,2.65
2010,Delhi,Ford Figo Petrol Titanium,59196,Petrol,Manual,Second,15.6,1196.0,,2.25
2016,Hyderabad,Toyota Innova Crysta 2.4 G MT,121362,Diesel,Manual,First,13.68,2393.0,,16.0
2013,Mumbai,BMW 5 Series 2003-2012 520d,78000,Diesel,Automatic,First,18.48,1995.0,,19.5
2015,Bangalore,Hyundai Santa Fe 4WD AT,59000,Diesel,Automatic,First,13.01,2199.0,,21.0
2012,Ahmedabad,BMW 5 Series 520d Luxury Line,95000,Diesel,Automatic,Second,22.48,1995.0,63.71 Lakh,17.5
2010,Hyderabad,Ford Fiesta EXi 1.4 TDCi Ltd,84000,Diesel,Manual,Second,17.8,1399.0,,2.41
2012,Bangalore,Toyota Etios GD,58253,Diesel,Manual,Second,23.59,1364.0,,4.45
2014,Coimbatore,Land Rover Range Rover 2.2L Prestige,64557,Diesel,Automatic,Second,12.7,2179.0,,29.93
2012,Pune,Toyota Etios Liva V,24500,Petrol,Manual,Second,18.3,,,2.95
2009,Kolkata,Maruti Alto LX,68078,Petrol,Manual,First,19.7,796.0,,1.02
2009,Jaipur,Toyota Fortuner 3.0 Diesel,149706,Diesel,Manual,First,11.5,2982.0,,11.0
2004,Pune,Toyota Qualis RS E2,215750,Diesel,Manual,Second,0.0,2446.0,,3.5
2013,Mumbai,Ford Ecosport 1.5 Ti VCT MT Titanium,25984,Petrol,Manual,First,15.8,1499.0,,5.35
2017,Mumbai,Maruti Baleno Sigma 1.2,15544,Petrol,Manual,First,21.4,1197.0,,5.65
2015,Mumbai,Mini Cooper Countryman D High,34000,Diesel,Automatic,First,23.8,1998.0,,22.0
2013,Mumbai,Hyundai Verna 1.6 VTVT EX AT,24000,Petrol,Automatic,First,17.01,1591.0,,5.95
2011,Pune,Ford Figo Diesel Titanium,95000,Diesel,Manual,Third,20.0,1399.0,,2.35
2014,Pune,Honda Amaze S i-Dtech,52000,Diesel,Manual,Second,25.8,1498.0,,4.1
2012,Pune,Renault Duster 110PS Diesel RxZ,135000,Diesel,Manual,First,19.01,1461.0,,5.4
2017,Delhi,Ford EcoSport 1.5 Diesel Titanium,39000,Diesel,Manual,First,23.0,1498.0,11.47 Lakh,8.45
2013,Jaipur,BMW X6 xDrive30d,45306,Diesel,Automatic,Second,11.2,2993.0,,42.5
2010,Mumbai,Toyota Fortuner 2.8 4WD MT,140000,Diesel,Manual,First,14.24,2755.0,37.46 Lakh,10.75
2010,Pune,Hyundai Santro Xing GLS LPG,55000,LPG,Manual,Second,13.45,1086.0,,1.65
2015,Kochi,Mahindra Ssangyong Rexton RX7,67415,Diesel,Automatic,First,11.18,2696.0,,11.03
2016,Kolkata,Maruti Celerio VXI,25562,Petrol,Manual,First,23.1,998.0,,3.5
2016,Jaipur,Hyundai i20 Sportz 1.2,30292,Petrol,Manual,First,18.6,1197.0,,6.3
2014,Bangalore,Ford EcoSport 1.0 Ecoboost Titanium Plus,84056,Petrol,Manual,First,18.88,999.0,,6.75
2017,Jaipur,Maruti Ciaz VDi,62691,Diesel,Manual,First,26.21,1248.0,,7.5
2013,Pune,Audi A4 2.0 TDI 177 Bhp Premium Plus,87000,Diesel,Automatic,First,17.11,1968.0,,15.5
2015,Delhi,Honda Amaze S i-Vtech,52513,Petrol,Manual,First,18.0,1198.0,,4.65
2016,Kochi,Ford EcoSport 1.5 Ti VCT AT Titanium,43983,Petrol,Automatic,First,15.63,1499.0,,7.58
2013,Hyderabad,Maruti Alto K10 2010-2014 VXI,90121,Petrol,Manual,First,20.92,998.0,,2.2
2011,Bangalore,Audi A6 3.0 TDI quattro,50000,Diesel,Automatic,Third,16.77,2967.0,,21.0
2011,Kolkata,Volkswagen Passat Diesel Highline 2.0 TDI,42500,Diesel,Automatic,First,18.33,1968.0,,5.25
2016,Kochi,Maruti Swift VDI,62192,Diesel,Manual,First,28.4,1248.0,7.88 Lakh,5.22
2011,Chennai,Mahindra Logan Diesel 1.5 DLS,128000,Diesel,Manual,Third,19.2,1461.0,,2.0
2018,Kochi,Maruti Ciaz Alpha,38394,Petrol,Manual,First,21.56,1462.0,11.37 Lakh,9.18
2013,Coimbatore,Tata Nano Lx,37287,Petrol,Manual,First,26.0,624.0,,1.74
2011,Delhi,Honda City 1.5 V AT,60000,Petrol,Automatic,First,16.8,1497.0,,4.45
2017,Coimbatore,Ford Figo 2015-2019 1.2P Trend MT,39419,Petrol,Manual,First,18.16,1196.0,,4.95
2014,Delhi,Hyundai i20 Sportz 1.4 CRDi,55000,Diesel,Manual,First,22.54,1396.0,,5.64
2016,Mumbai,Ford EcoSport 1.5 Ti VCT MT Titanium BE,7000,Petrol,Manual,First,18.88,1499.0,,6.9
2011,Hyderabad,Audi A4 2.0 TDI,85000,Diesel,Automatic,First,16.55,1968.0,,13.95
2013,Hyderabad,BMW 1 Series 118d Sport Line,51000,Diesel,Automatic,Second,20.58,1995.0,,17.0
2012,Bangalore,Tata Safari DICOR 2.2 LX 4x2,90000,Diesel,Manual,Second,13.93,2179.0,,4.6
2010,Jaipur,Mahindra Scorpio VLX 4WD AIRBAG BSIV,105000,Diesel,Manual,Second,12.05,2179.0,,5.21
2017,Coimbatore,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,36458,Petrol,Manual,First,15.29,1591.0,,12.34
2006,Chennai,Honda City ZX VTEC,109000,Petrol,Manual,First,16.9,1497.0,,1.5
2015,Delhi,BMW X1 sDrive 20d Sportline,49000,Diesel,Automatic,First,17.05,1995.0,,22.99
2011,Mumbai,Porsche Cayman 2009-2012 S tiptronic,8000,Petrol,Automatic,First,9.0,3436.0,,43.0
2010,Hyderabad,Land Rover Range Rover Sport 2005 2012 HSE,45000,Diesel,Automatic,First,14.7,2993.0,,40.0
2008,Chennai,Maruti Alto LXi BSIII,68000,Petrol,Manual,Third,19.7,796.0,,1.2
2011,Mumbai,Hyundai i10 Asta Sunroof AT,54000,Petrol,Automatic,First,19.2,1197.0,,2.9
2016,Delhi,Hyundai Elantra 2.0 SX Option AT,28000,Petrol,Automatic,First,14.62,1999.0,21.77 Lakh,13.9
2016,Delhi,Maruti Ciaz RS ZDi Plus SHVS,38500,Diesel,Manual,Second,28.09,1248.0,,7.85
2016,Coimbatore,BMW X5 xDrive 30d,17738,Diesel,Automatic,First,15.3,2993.0,,54.45
2012,Kolkata,Chevrolet Tavera LT 9 Str BS IV,67132,Diesel,Manual,First,13.58,2499.0,,4.75
2011,Mumbai,Volkswagen Vento 1.5 TDI Trendline,47000,Diesel,Manual,First,20.64,1498.0,11.3 Lakh,3.25
2015,Mumbai,Honda City i VTEC V,28005,Petrol,Manual,First,17.8,1497.0,,7.1
2017,Kolkata,Maruti Swift VXI BSIV,13000,Petrol,Manual,First,20.4,1197.0,,4.65
2012,Kolkata,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,67000,Diesel,Manual,First,19.33,1968.0,,5.0
2015,Delhi,Hyundai i20 Sportz 1.2,50000,Petrol,Manual,First,18.6,1197.0,,4.95
2014,Bangalore,Mahindra XUV500 W8 2WD,55000,Diesel,Manual,First,15.1,2179.0,,9.8
2019,Coimbatore,Mercedes-Benz E-Class E 350 d,9312,Diesel,Automatic,First,18.0,2987.0,92.5 Lakh,78.8
2015,Kolkata,Maruti Celerio LXI,30458,Petrol,Manual,First,23.1,998.0,,2.99
2014,Mumbai,Volkswagen Vento 1.6 Highline,46000,Petrol,Manual,First,15.04,1598.0,,4.45
2011,Pune,Tata Nano XT,50000,Petrol,Manual,Second,23.9,624.0,,0.75
2016,Delhi,Hyundai Xcent 1.2 Kappa S Option CNG,36676,CNG,Manual,First,25.0,1197.0,,5.0
2014,Chennai,Ford EcoSport 1.5 TDCi Titanium,72563,Diesel,Manual,Second,22.77,1498.0,,5.0
2015,Pune,Maruti Swift 1.3 VXI ABS,67000,Petrol,Manual,First,16.1,,,4.7
2015,Coimbatore,Hyundai Elantra 2.0 SX Option AT,58239,Petrol,Automatic,First,14.62,1999.0,23.64 Lakh,9.69
2015,Coimbatore,Chevrolet Enjoy 1.3 TCDi LTZ 8,57934,Diesel,Manual,First,18.2,1248.0,,5.5
2017,Chennai,BMW X5 xDrive 30d M Sport,6500000,Diesel,Automatic,First,15.97,2993.0,,65.0
2015,Jaipur,Volkswagen Polo 1.5 TDI Highline,63000,Diesel,Manual,First,20.14,1498.0,,5.11
2012,Mumbai,Skoda Fabia 1.2 MPI Ambition Plus,27014,Petrol,Manual,First,16.25,1198.0,,2.19
2012,Chennai,Volkswagen Vento Diesel Comfortline,90906,Diesel,Manual,First,20.54,1598.0,,4.25
2013,Hyderabad,Mahindra Ssangyong Rexton RX7,61202,Diesel,Automatic,First,11.18,2696.0,,14.5
2014,Mumbai,Nissan Terrano XL D Option,51000,Diesel,Manual,First,19.87,1461.0,15.06 Lakh,5.65
2016,Ahmedabad,Toyota Fortuner 2.8 2WD AT,88008,Diesel,Automatic,Second,12.9,2755.0,34.45 Lakh,22.5
2007,Mumbai,Maruti Swift 1.3 VXi,55000,Petrol,Manual,Second,16.1,,,1.75
2004,Jaipur,Toyota Corolla H4,160000,Petrol,Automatic,Second,11.3,1794.0,,1.5
2012,Kochi,Hyundai i10 Sportz,42591,Petrol,Manual,First,20.36,1197.0,,3.2
2012,Bangalore,Hyundai i20 1.4 CRDi Sportz,67000,Diesel,Manual,First,23.0,1396.0,,4.5
2014,Pune,Honda Amaze S i-Dtech,48000,Diesel,Manual,Second,25.8,1498.0,,4.5
2014,Jaipur,Hyundai Verna 1.6 SX CRDI (O) AT,97000,Diesel,Automatic,First,22.32,1582.0,,8.0
2018,Mumbai,Mercedes-Benz GLA Class 200 d Sport,10000,Diesel,Automatic,First,17.9,2143.0,41.94 Lakh,28.9
2015,Coimbatore,Volkswagen Polo 1.5 TDI Trendline,56900,Diesel,Manual,First,20.14,1498.0,,4.1
2006,Hyderabad,Hyundai Santro AT,74483,Petrol,Automatic,First,0.0,999.0,,2.3
2017,Kochi,Maruti Baleno Zeta Automatic,36152,Petrol,Automatic,First,21.4,1197.0,,7.22
2014,Hyderabad,Maruti Swift VDI,85512,Diesel,Manual,First,22.9,1248.0,,5.8
2013,Chennai,Mahindra Xylo D2 BSIV,234000,Diesel,Manual,Second,14.0,2489.0,,3.5
2013,Bangalore,Ford Ecosport 1.5 DV5 MT Trend,36000,Diesel,Manual,Second,22.7,1498.0,,6.35
2015,Delhi,Mahindra XUV500 W8 2WD,36096,Diesel,Manual,First,15.1,2179.0,,8.85
2010,Hyderabad,Chevrolet Beat LS,111111,Petrol,Manual,Second,18.6,1199.0,,2.0
2012,Bangalore,Hyundai Verna 1.6 VTVT,73000,Petrol,Manual,First,17.01,1591.0,,5.5
2014,Kolkata,Hyundai Grand i10 Asta,44300,Petrol,Manual,Second,18.9,1197.0,,2.3
2014,Bangalore,Renault Duster 110PS Diesel RxZ,74500,Diesel,Manual,First,19.01,1461.0,,7.95
2016,Coimbatore,Hyundai Xcent 1.2 Kappa S Option,21495,Petrol,Manual,First,19.1,1197.0,,6.16
2012,Delhi,Hyundai i10 Sportz,59000,Petrol,Manual,First,20.36,1197.0,,2.85
2016,Delhi,Mercedes-Benz GLA Class 200 Sport Edition,23000,Petrol,Automatic,First,13.7,1991.0,,25.0
2008,Coimbatore,Mercedes-Benz New C-Class 220 CDI MT,50135,Diesel,Manual,First,15.8,2148.0,,10.36
2016,Delhi,Mercedes-Benz CLA 200 Sport Edition,25000,Petrol,Automatic,First,15.04,1991.0,,26.0
2013,Kolkata,Hyundai Verna 1.6 SX CRDi (O),47000,Diesel,Manual,First,22.32,1582.0,,4.35
2016,Chennai,Mahindra Xylo D2 Maxx,150000,Diesel,Manual,First,14.95,2489.0,,4.5
2015,Delhi,Maruti Swift Dzire LDI,53503,Diesel,Manual,First,26.59,1248.0,,5.0
2014,Ahmedabad,Hyundai i10 Sportz,47003,Petrol,Manual,First,20.36,1197.0,,3.67
2014,Delhi,Tata Safari Storme Explorer Edition,80000,Diesel,Manual,First,14.0,2179.0,,6.0
2018,Coimbatore,Hyundai Grand i10 Asta,20492,Petrol,Manual,First,18.9,1197.0,,6.34
2012,Chennai,Mini Cooper Convertible S,17000,Petrol,Automatic,Second,16.82,1998.0,44.28 Lakh,22.0
2006,Delhi,Toyota Corolla H5,79000,Petrol,Manual,Second,13.4,1794.0,,1.67
2014,Kolkata,Toyota Corolla Altis G MT,27000,Petrol,Manual,First,14.28,1798.0,,7.95
2018,Kochi,Maruti Grand Vitara 2.4 MT,28786,Petrol,Manual,First,10.4,2393.0,,9.74
2011,Chennai,Mahindra XUV500 W8 1.99 mHawk,143354,Diesel,Manual,Second,16.0,1997.0,,6.0
2008,Chennai,Maruti Estilo LXI,56000,Petrol,Manual,Second,19.5,1061.0,,1.5
2013,Mumbai,Mini Cooper 3 DOOR S,21000,Petrol,Automatic,First,17.44,1998.0,39.57 Lakh,21.5
2014,Pune,Maruti Wagon R CNG LXI,29202,CNG,Manual,First,33.54,998.0,5.54 Lakh,3.9
2009,Jaipur,Maruti Ritz VDi,73000,Diesel,Manual,Second,21.1,1248.0,,2.35
2012,Delhi,Volkswagen Polo Diesel Comfortline 1.2L,74000,Diesel,Manual,Second,22.07,1199.0,,2.65
2011,Kochi,Hyundai i10 Magna,65423,Petrol,Manual,First,20.36,1197.0,,3.16
2009,Jaipur,Maruti A-Star Vxi,65000,Petrol,Manual,Second,19.0,998.0,,2.05
2013,Hyderabad,Maruti Wagon R LXI CNG,83875,CNG,Manual,Second,26.6,998.0,,2.95
2014,Hyderabad,Maruti Wagon R Stingray LXI,55277,Petrol,Manual,First,20.51,998.0,,3.9
2017,Coimbatore,Honda Mobilio S i DTEC,50808,Diesel,Manual,Second,24.2,1498.0,,6.68
2017,Jaipur,Hyundai EON Era Plus,52000,Petrol,Manual,Second,21.1,814.0,,3.5
2017,Mumbai,Skoda Rapid 1.6 MPI AT Ambition,32000,Petrol,Automatic,First,14.84,1598.0,13.7 Lakh,8.11
2017,Delhi,Maruti Ciaz VDi Plus SHVS,25000,Diesel,Manual,First,28.09,1248.0,,8.3
2016,Coimbatore,Mercedes-Benz M-Class ML 250 CDI,23218,Diesel,Automatic,First,15.26,2143.0,,45.61
2010,Pune,Skoda Laura Elegance 2.0 TDI CR AT,84000,Diesel,Automatic,First,20.0,1968.0,,4.45
2017,Delhi,Maruti Vitara Brezza VDi Option,40000,Diesel,Manual,First,24.3,1248.0,,7.85
2011,Hyderabad,Hyundai Santro Xing GLS LPG,17000,LPG,Manual,First,13.45,1086.0,,3.1
2014,Kolkata,Hyundai Grand i10 CRDi Sportz,25135,Diesel,Manual,First,24.0,1120.0,,3.75
2017,Delhi,Maruti Ertiga VDI,65000,Diesel,Manual,First,25.47,1248.0,11.16 Lakh,7.65
2013,Ahmedabad,Hyundai i20 1.2 Sportz,40000,Petrol,Manual,First,17.0,1197.0,,4.9
2018,Coimbatore,Mahindra XUV500 AT W10 FWD,24500,Diesel,Automatic,First,16.0,2179.0,,16.52
2016,Kochi,Skoda Superb Elegance 1.8 TSI AT,56674,Petrol,Automatic,First,13.7,1798.0,,14.05
2016,Kochi,Maruti Ciaz VXi Plus,51950,Petrol,Manual,First,20.73,1373.0,,6.75
2016,Kolkata,Hyundai Creta 1.6 CRDi SX,51000,Diesel,Manual,First,19.67,1582.0,,9.2
2012,Chennai,Toyota Etios GD,150000,Diesel,Manual,Third,23.59,1364.0,,3.0
2008,Chennai,Honda City 1.5 S MT,114750,Petrol,Manual,Second,17.0,1497.0,,2.75
2016,Hyderabad,Ford Endeavour 2.2 Trend MT 4X4,107890,Diesel,Manual,First,13.5,2198.0,,20.5
2012,Pune,Hyundai i20 2015-2017 1.4 Magna ABS,64000,Diesel,Manual,First,21.9,1396.0,,4.25
